the_geom,OBJECTID_1,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp
POINT (-73.80188495899348 40.588900570915406),2193,4,Queens,414,31,31,15,5,28,Bus Route,,207 Beach 73rd Street,73-98 Rockaway Beach Blvd,Rockaway Beach Blvd,Aquatic Pl. & B. 73rd St,Queens,0,q22,,40.5889,-73.8019,AE,,1,LEANING BAR
POINT (-73.99292593203424 40.75109799308638),2169,1,Manhattan,105,3,75,31,10,4,SBS,,494 8th Avenue,1 Pennsylvania Plaza,W 34th Street,8th Avenue & 7th Avenue,Manhattan,0,M34,,40.7511,-73.9929,X,AREA OF MINIMAL FLOOD HAZARD,,LEANING BAR
POINT (-73.77297182577361 40.7675759000782),1294,4,Queens,411,19,26,11,6,1504,BID,1/25/2013,36-01 Bell Blvd,36-01 Bell Blvd,Bell Blvd,36th and 38th Avenues,Queens,411,Not Applicable,Bell Blvd BBA,40.7676,-73.773,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.8860972442813 40.74441606465547),2212,4,Queens,404,25,39,16,6,46,SBS,,7901 Broadway,7901 Broadway,Broadway,78th Street & 79th Street,Queens,45,Q53,,40.7444,-73.8861,X,AREA OF MINIMAL FLOOD HAZARD,,LEANING BAR
POINT (-73.97826533174376 40.57557877639957),20,3,Brooklyn,313,47,46,23,8,3457,Bus Route,12/16/2016,1015 Surf Avenue,1015 Surf Avenue,Surf Avenue,W 8th Street & W 12th Street,Brooklyn,313,B36,Not Applicable,40.5756,-73.9783,AE,,1,BACKLESS 1.0
POINT (-74.0271477347864 40.620514544001836),196,3,Brooklyn,310,43,46,22,11,1491,General,1/4/2013,8714 Fifth Avenue,,5th Avenue,87th and 88th Streets,Brooklyn,310,Not Applicable,Not Applicable,40.6205,-74.0271,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.89736707770413 40.707344968015775),2139,4,Queens,405,30,37,15,6,4099,General,8/2/2018,66-54 Fresh Pond Road,66-54 Fresh Pond Road,Fresh Pond Road,Woodbine Street & Madison Street,Queens,405,Not Applicable,Not Applicable,40.7073,-73.8974,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.784277121277 40.7577284640028),1218,4,Queens,411,19,26,11,6,2546,Municipal Facilities,6/11/2014,196-30 Northern Boulevard,196-30 Northern Boulevard,Northern Boulevard,Francis Lewis Boulevard and 196th Street,Queens,411,Not Applicable,Not Applicable,40.7577,-73.7843,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.93983688337636 40.83014517633388),2086,1,Manhattan,109,9,71,30,13,3188,General,6/1/2016,433 Edgecomb Avenue,433 Edgecomb Avenue,W 155th Street,Amsterdan Avenue & Audubon Avenue,Manhattan,109,BX06,Not Applicable,40.8301,-73.9398,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.90764190856598 40.81645630402308),1550,2,Bronx,201,8,84,29,15,3121,General,8/6/2015,745 E 152nd Street,668 Westchester Avenue,Westchester Avenue,Westchester Avenues & Tinton Avenue,Bronx,201,Not Applicable,Not Applicable,40.8165,-73.9076,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
